input_decimal,input_hex,fpga_result_hex,latency_seconds,latency_ms
0,0x0000,0x0000,0.007804,7.804
1,0x0001,0x0100,0.007885,7.885
2,0x0002,0x016A,0.007975,7.975
3,0x0003,0x01BB,0.007960,7.960
4,0x0004,0x0200,0.007954,7.954
5,0x0005,0x023C,0.007086,7.086
6,0x0006,0x0273,0.007908,7.908
7,0x0007,0x02A5,0.007039,7.039
8,0x0008,0x02D4,0.007927,7.927
9,0x0009,0x02FF,0.007044,7.044
10,0x000A,0x0329,0.007930,7.930
11,0x000B,0x0350,0.007003,7.003
12,0x000C,0x0376,0.007056,7.056
13,0x000D,0x039A,0.007899,7.899
14,0x000E,0x03BD,0.007055,7.055
15,0x000F,0x03DF,0.007912,7.912
16,0x0010,0x0400,0.007051,7.051
17,0x0011,0x041F,0.007919,7.919
18,0x0012,0x043E,0.007025,7.025
19,0x0013,0x045B,0.007915,7.915
20,0x0014,0x0478,0.007027,7.027
21,0x0015,0x0495,0.007053,7.053
22,0x0016,0x04B0,0.008024,8.024
23,0x0017,0x04CB,0.008016,8.016
24,0x0018,0x04E6,0.007985,7.985
25,0x0019,0x0500,0.007854,7.854
26,0x001A,0x0519,0.007041,7.041
27,0x001B,0x0532,0.007899,7.899
28,0x001C,0x054A,0.007045,7.045
29,0x001D,0x0562,0.008058,8.058
30,0x001E,0x057A,0.007983,7.983
31,0x001F,0x0591,0.007886,7.886
32,0x0020,0x05A8,0.008061,8.061
33,0x0021,0x05BE,0.007878,7.878
34,0x0022,0x05D4,0.007043,7.043
35,0x0023,0x05EA,0.007946,7.946
36,0x0024,0x05FF,0.007155,7.155
37,0x0025,0x0615,0.007974,7.974
38,0x0026,0x0629,0.007926,7.926
39,0x0027,0x063E,0.008068,8.068
40,0x0028,0x0652,0.008039,8.039
41,0x0029,0x0667,0.007999,7.999
42,0x002A,0x067A,0.007738,7.738
43,0x002B,0x068E,0.006971,6.971
44,0x002C,0x06A1,0.007227,7.227
45,0x002D,0x06B5,0.007985,7.985
46,0x002E,0x06C8,0.008080,8.080
47,0x002F,0x06DA,0.007675,7.675
48,0x0030,0x06ED,0.007056,7.056
49,0x0031,0x06FF,0.007914,7.914
50,0x0032,0x0712,0.007053,7.053
51,0x0033,0x0724,0.008069,8.069
52,0x0034,0x0735,0.007811,7.811
53,0x0035,0x0747,0.007005,7.005
54,0x0036,0x0759,0.007028,7.028
55,0x0037,0x076A,0.007895,7.895
56,0x0038,0x077B,0.007048,7.048
57,0x0039,0x078C,0.007073,7.073
58,0x003A,0x079D,0.007857,7.857
59,0x003B,0x07AE,0.007003,7.003
60,0x003C,0x07BE,0.007048,7.048
61,0x003D,0x07CF,0.007929,7.929
62,0x003E,0x07DF,0.007027,7.027
63,0x003F,0x07EF,0.007049,7.049
64,0x0040,0x0800,0.007892,7.892
65,0x0041,0x080F,0.007041,7.041
66,0x0042,0x081F,0.007934,7.934
67,0x0043,0x082F,0.007016,7.016
68,0x0044,0x083F,0.007962,7.962
69,0x0045,0x084E,0.007092,7.092
70,0x0046,0x085D,0.007891,7.891
71,0x0047,0x086D,0.007053,7.053
72,0x0048,0x087C,0.007879,7.879
73,0x0049,0x088B,0.007043,7.043
74,0x004A,0x089A,0.007933,7.933
75,0x004B,0x08A9,0.007084,7.084
76,0x004C,0x08B7,0.007885,7.885
77,0x004D,0x08C6,0.007019,7.019
78,0x004E,0x08D4,0.007073,7.073
79,0x004F,0x08E3,0.007865,7.865
80,0x0050,0x08F1,0.007065,7.065
81,0x0051,0x0900,0.007872,7.872
82,0x0052,0x090E,0.007117,7.117
83,0x0053,0x091C,0.007847,7.847
84,0x0054,0x092A,0.007006,7.006
85,0x0055,0x0938,0.007054,7.054
86,0x0056,0x0946,0.007871,7.871
87,0x0057,0x0953,0.007861,7.861
88,0x0058,0x0961,0.007030,7.030
89,0x0059,0x096F,0.007913,7.913
90,0x005A,0x097C,0.007007,7.007
91,0x005B,0x098A,0.007976,7.976
92,0x005C,0x0997,0.007950,7.950
93,0x005D,0x09A4,0.008001,8.001
94,0x005E,0x09B2,0.007894,7.894
95,0x005F,0x09BF,0.006991,6.991
96,0x0060,0x09CC,0.007028,7.028
97,0x0061,0x09D9,0.007894,7.894
98,0x0062,0x09E6,0.007027,7.027
99,0x0063,0x09F3,0.007044,7.044
100,0x0064,0x0A00,0.007889,7.889
101,0x0065,0x0A0C,0.007007,7.007
102,0x0066,0x0A19,0.006993,6.993
103,0x0067,0x0A26,0.006981,6.981
104,0x0068,0x0A32,0.007018,7.018
105,0x0069,0x0A3F,0.006970,6.970
106,0x006A,0x0A4B,0.007052,7.052
107,0x006B,0x0A58,0.007905,7.905
108,0x006C,0x0A64,0.007009,7.009
109,0x006D,0x0A70,0.006964,6.964
110,0x006E,0x0A7C,0.007046,7.046
111,0x006F,0x0A89,0.006960,6.960
112,0x0070,0x0A95,0.006961,6.961
113,0x0071,0x0AA1,0.007053,7.053
114,0x0072,0x0AAD,0.007048,7.048
115,0x0073,0x0AB9,0.007879,7.879
116,0x0074,0x0AC5,0.006987,6.987
117,0x0075,0x0AD1,0.007030,7.030
118,0x0076,0x0ADC,0.006961,6.961
119,0x0077,0x0AE8,0.007067,7.067
120,0x0078,0x0AF4,0.007920,7.920
121,0x0079,0x0B00,0.006992,6.992
122,0x007A,0x0B0B,0.006979,6.979
123,0x007B,0x0B17,0.007039,7.039
124,0x007C,0x0B22,0.007034,7.034
125,0x007D,0x0B2E,0.007875,7.875
126,0x007E,0x0B39,0.006989,6.989
127,0x007F,0x0B44,0.007034,7.034
128,0x0080,0x0B50,0.007063,7.063
129,0x0081,0x0B5B,0.007893,7.893
130,0x0082,0x0B66,0.007034,7.034
131,0x0083,0x0B71,0.007910,7.910
132,0x0084,0x0B7C,0.006998,6.998
133,0x0085,0x0B88,0.007919,7.919
134,0x0086,0x0B93,0.007006,7.006
135,0x0087,0x0B9E,0.007036,7.036
136,0x0088,0x0BA9,0.007065,7.065
137,0x0089,0x0BB4,0.007859,7.859
138,0x008A,0x0BBE,0.007047,7.047
139,0x008B,0x0BC9,0.007869,7.869
140,0x008C,0x0BD4,0.006994,6.994
141,0x008D,0x0BDF,0.007012,7.012
142,0x008E,0x0BEA,0.007046,7.046
143,0x008F,0x0BF4,0.006949,6.949
144,0x0090,0x0BFF,0.006969,6.969
145,0x0091,0x0C0A,0.007040,7.040
146,0x0092,0x0C14,0.006941,6.941
147,0x0093,0x0C1F,0.006985,6.985
148,0x0094,0x0C2A,0.007024,7.024
149,0x0095,0x0C34,0.006975,6.975
150,0x0096,0x0C3F,0.007059,7.059
151,0x0097,0x0C49,0.007063,7.063
152,0x0098,0x0C53,0.007849,7.849
153,0x0099,0x0C5E,0.006996,6.996
154,0x009A,0x0C68,0.007071,7.071
155,0x009B,0x0C72,0.007911,7.911
156,0x009C,0x0C7D,0.007003,7.003
157,0x009D,0x0C87,0.007031,7.031
158,0x009E,0x0C91,0.007921,7.921
159,0x009F,0x0C9B,0.007014,7.014
160,0x00A0,0x0CA5,0.007066,7.066
161,0x00A1,0x0CAF,0.007886,7.886
162,0x00A2,0x0CBA,0.007168,7.168
163,0x00A3,0x0CC4,0.007936,7.936
164,0x00A4,0x0CCE,0.007984,7.984
165,0x00A5,0x0CD8,0.007972,7.972
166,0x00A6,0x0CE1,0.007981,7.981
167,0x00A7,0x0CEB,0.008106,8.106
168,0x00A8,0x0CF5,0.007766,7.766
169,0x00A9,0x0CFF,0.007065,7.065
170,0x00AA,0x0D09,0.007937,7.937
171,0x00AB,0x0D13,0.008020,8.020
172,0x00AC,0x0D1D,0.007982,7.982
173,0x00AD,0x0D26,0.007980,7.980
174,0x00AE,0x0D30,0.007858,7.858
175,0x00AF,0x0D3A,0.007092,7.092
176,0x00B0,0x0D43,0.007916,7.916
177,0x00B1,0x0D4D,0.007028,7.028
178,0x00B2,0x0D57,0.008065,8.065
179,0x00B3,0x0D60,0.007871,7.871
180,0x00B4,0x0D6A,0.007156,7.156
181,0x00B5,0x0D73,0.007826,7.826
182,0x00B6,0x0D7D,0.006998,6.998
183,0x00B7,0x0D86,0.008047,8.047
184,0x00B8,0x0D90,0.008038,8.038
185,0x00B9,0x0D99,0.007987,7.987
186,0x00BA,0x0DA3,0.008003,8.003
187,0x00BB,0x0DAC,0.007836,7.836
188,0x00BC,0x0DB5,0.007206,7.206
189,0x00BD,0x0DBF,0.007983,7.983
190,0x00BE,0x0DC8,0.008027,8.027
191,0x00BF,0x0DD1,0.007774,7.774
192,0x00C0,0x0DDA,0.008048,8.048
193,0x00C1,0x0DE4,0.007823,7.823
194,0x00C2,0x0DED,0.007080,7.080
195,0x00C3,0x0DF6,0.007921,7.921
196,0x00C4,0x0DFF,0.007002,7.002
197,0x00C5,0x0E08,0.007953,7.953
198,0x00C6,0x0E11,0.007196,7.196
199,0x00C7,0x0E1A,0.007801,7.801
200,0x00C8,0x0E24,0.007017,7.017
201,0x00C9,0x0E2D,0.007931,7.931
202,0x00CA,0x0E36,0.007000,7.000
203,0x00CB,0x0E3F,0.007232,7.232
204,0x00CC,0x0E48,0.007846,7.846
205,0x00CD,0x0E50,0.007881,7.881
206,0x00CE,0x0E59,0.007009,7.009
207,0x00CF,0x0E62,0.007281,7.281
208,0x00D0,0x0E6B,0.007824,7.824
209,0x00D1,0x0E74,0.007957,7.957
210,0x00D2,0x0E7D,0.007857,7.857
211,0x00D3,0x0E86,0.007045,7.045
212,0x00D4,0x0E8F,0.007939,7.939
213,0x00D5,0x0E97,0.007021,7.021
214,0x00D6,0x0EA0,0.007026,7.026
215,0x00D7,0x0EA9,0.007916,7.916
216,0x00D8,0x0EB2,0.007041,7.041
217,0x00D9,0x0EBA,0.007912,7.912
218,0x00DA,0x0EC3,0.007011,7.011
219,0x00DB,0x0ECC,0.006996,6.996
220,0x00DC,0x0ED4,0.006967,6.967
221,0x00DD,0x0EDD,0.007177,7.177
222,0x00DE,0x0EE5,0.007945,7.945
223,0x00DF,0x0EEE,0.007983,7.983
224,0x00E0,0x0EF7,0.007978,7.978
225,0x00E1,0x0EFF,0.007868,7.868
226,0x00E2,0x0F08,0.007134,7.134
227,0x00E3,0x0F10,0.007938,7.938
228,0x00E4,0x0F19,0.007999,7.999
229,0x00E5,0x0F21,0.007998,7.998
230,0x00E6,0x0F2A,0.007996,7.996
231,0x00E7,0x0F32,0.007959,7.959
232,0x00E8,0x0F3A,0.007988,7.988
233,0x00E9,0x0F43,0.007976,7.976
234,0x00EA,0x0F4B,0.007983,7.983
235,0x00EB,0x0F53,0.007972,7.972
236,0x00EC,0x0F5C,0.008014,8.014
237,0x00ED,0x0F64,0.007851,7.851
238,0x00EE,0x0F6C,0.007169,7.169
239,0x00EF,0x0F75,0.007924,7.924
240,0x00F0,0x0F7D,0.007980,7.980
241,0x00F1,0x0F85,0.007987,7.987
242,0x00F2,0x0F8E,0.007994,7.994
243,0x00F3,0x0F96,0.007981,7.981
244,0x00F4,0x0F9E,0.007819,7.819
245,0x00F5,0x0FA6,0.007021,7.021
246,0x00F6,0x0FAE,0.007957,7.957
247,0x00F7,0x0FB6,0.007082,7.082
248,0x00F8,0x0FBF,0.008007,8.007
249,0x00F9,0x0FC7,0.008004,8.004
250,0x00FA,0x0FCF,0.008052,8.052
251,0x00FB,0x0FD7,0.007805,7.805
252,0x00FC,0x0FDF,0.007019,7.019
253,0x00FD,0x0FE7,0.007920,7.920
254,0x00FE,0x0FEF,0.007151,7.151
255,0x00FF,0x0FF7,0.007840,7.840
256,0x0100,0x1000,0.007057,7.057
257,0x0101,0x1007,0.007922,7.922
258,0x0102,0x100F,0.007182,7.182
259,0x0103,0x1017,0.008047,8.047
260,0x0104,0x101F,0.008062,8.062
261,0x0105,0x1027,0.007654,7.654
262,0x0106,0x102F,0.007066,7.066
263,0x0107,0x1037,0.007896,7.896
264,0x0108,0x103F,0.007018,7.018
265,0x0109,0x1047,0.007072,7.072
266,0x010A,0x104F,0.007874,7.874
267,0x010B,0x1057,0.007031,7.031
268,0x010C,0x105E,0.007047,7.047
269,0x010D,0x1066,0.007873,7.873
270,0x010E,0x106E,0.006995,6.995
271,0x010F,0x1076,0.007009,7.009
272,0x0110,0x107E,0.006961,6.961
273,0x0111,0x1085,0.007071,7.071
274,0x0112,0x108D,0.007919,7.919
275,0x0113,0x1095,0.006983,6.983
276,0x0114,0x109C,0.007055,7.055
