Input (Dec),Expected (Float),FPGA (Q8.8),Abs Error,Error (LSB),Status
1,1.0000,1.0000,0.000000,0.00 LSB,PASS
2,1.4142,1.4141,0.000151,0.04 LSB,PASS
3,1.7321,1.7305,0.001582,0.41 LSB,PASS
4,2.0000,2.0000,0.000000,0.00 LSB,PASS
5,2.2361,2.2344,0.001693,0.43 LSB,PASS
6,2.4495,2.4492,0.000271,0.07 LSB,PASS
7,2.6458,2.6445,0.001220,0.31 LSB,PASS
8,2.8284,2.8281,0.000302,0.08 LSB,PASS
9,3.0000,2.9961,0.003906,1.00 LSB,PASS
10,3.1623,3.1602,0.002121,0.54 LSB,PASS
11,3.3166,3.3125,0.004125,1.06 LSB,PASS
12,3.4641,3.4609,0.003164,0.81 LSB,PASS
13,3.6056,3.6016,0.003989,1.02 LSB,PASS
14,3.7417,3.7383,0.003376,0.86 LSB,PASS
15,3.8730,3.8711,0.001890,0.48 LSB,PASS
16,4.0000,4.0000,0.000000,0.00 LSB,PASS
17,4.1231,4.1211,0.002012,0.52 LSB,PASS
18,4.2426,4.2422,0.000453,0.12 LSB,PASS
19,4.3589,4.3555,0.003430,0.88 LSB,PASS
20,4.4721,4.4688,0.003386,0.87 LSB,PASS
21,4.5826,4.5820,0.000544,0.14 LSB,PASS
22,4.6904,4.6875,0.002916,0.75 LSB,PASS
23,4.7958,4.7930,0.002863,0.73 LSB,PASS
24,4.8990,4.8984,0.000542,0.14 LSB,PASS
25,5.0000,5.0000,0.000000,0.00 LSB,PASS
26,5.0990,5.0977,0.001363,0.35 LSB,PASS
27,5.1962,5.1953,0.000840,0.22 LSB,PASS
28,5.2915,5.2891,0.002440,0.62 LSB,PASS
29,5.3852,5.3828,0.002352,0.60 LSB,PASS
30,5.4772,5.4766,0.000663,0.17 LSB,PASS
31,5.5678,5.5664,0.001358,0.35 LSB,PASS
32,5.6569,5.6562,0.000604,0.15 LSB,PASS
33,5.7446,5.7422,0.002375,0.61 LSB,PASS
34,5.8310,5.8281,0.002827,0.72 LSB,PASS
35,5.9161,5.9141,0.002017,0.52 LSB,PASS
36,6.0000,5.9961,0.003906,1.00 LSB,PASS
37,6.0828,6.0820,0.000731,0.19 LSB,PASS
38,6.1644,6.1602,0.004258,1.09 LSB,PASS
39,6.2450,6.2422,0.002810,0.72 LSB,PASS
40,6.3246,6.3203,0.004243,1.09 LSB,PASS
41,6.4031,6.4023,0.000780,0.20 LSB,PASS
42,6.4807,6.4766,0.004178,1.07 LSB,PASS
43,6.5574,6.5547,0.002751,0.70 LSB,PASS
44,6.6332,6.6289,0.004343,1.11 LSB,PASS
45,6.7082,6.7070,0.001173,0.30 LSB,PASS
46,6.7823,6.7812,0.001080,0.28 LSB,PASS
47,6.8557,6.8516,0.004092,1.05 LSB,PASS
48,6.9282,6.9258,0.002422,0.62 LSB,PASS
49,7.0000,6.9961,0.003906,1.00 LSB,PASS
50,7.0711,7.0703,0.000755,0.19 LSB,PASS
51,7.1414,7.1406,0.000803,0.21 LSB,PASS
52,7.2111,7.2070,0.004071,1.04 LSB,PASS
53,7.2801,7.2773,0.002766,0.71 LSB,PASS
54,7.3485,7.3477,0.000813,0.21 LSB,PASS
55,7.4162,7.4141,0.002136,0.55 LSB,PASS
56,7.4833,7.4805,0.002846,0.73 LSB,PASS
57,7.5498,7.5469,0.002959,0.76 LSB,PASS
58,7.6158,7.6133,0.002492,0.64 LSB,PASS
59,7.6811,7.6797,0.001458,0.37 LSB,PASS
60,7.7460,7.7422,0.003779,0.97 LSB,PASS
61,7.8102,7.8086,0.001656,0.42 LSB,PASS
62,7.8740,7.8711,0.002914,0.75 LSB,PASS
63,7.9373,7.9336,0.003660,0.94 LSB,PASS
64,8.0000,8.0000,0.000000,0.00 LSB,PASS
65,8.0623,8.0586,0.003664,0.94 LSB,PASS
66,8.1240,8.1211,0.002945,0.75 LSB,PASS
67,8.1854,8.1836,0.001759,0.45 LSB,PASS
68,8.2462,8.2461,0.000118,0.03 LSB,PASS
69,8.3066,8.3047,0.001936,0.50 LSB,PASS
70,8.3666,8.3633,0.003319,0.85 LSB,PASS
71,8.4261,8.4258,0.000369,0.09 LSB,PASS
72,8.4853,8.4844,0.000906,0.23 LSB,PASS
73,8.5440,8.5430,0.001035,0.26 LSB,PASS
74,8.6023,8.6016,0.000763,0.20 LSB,PASS
75,8.6603,8.6602,0.000098,0.03 LSB,PASS
76,8.7178,8.7148,0.002954,0.76 LSB,PASS
77,8.7750,8.7734,0.001527,0.39 LSB,PASS
78,8.8318,8.8281,0.003636,0.93 LSB,PASS
79,8.8882,8.8867,0.001476,0.38 LSB,PASS
80,8.9443,8.9414,0.002866,0.73 LSB,PASS
81,9.0000,9.0000,0.000000,0.00 LSB,PASS
82,9.0554,9.0547,0.000698,0.18 LSB,PASS
83,9.1104,9.1094,0.001059,0.27 LSB,PASS
84,9.1652,9.1641,0.001089,0.28 LSB,PASS
85,9.2195,9.2188,0.000794,0.20 LSB,PASS
86,9.2736,9.2734,0.000181,0.05 LSB,PASS
87,9.3274,9.3242,0.003160,0.81 LSB,PASS
88,9.3808,9.3789,0.001925,0.49 LSB,PASS
89,9.4340,9.4336,0.000387,0.10 LSB,PASS
90,9.4868,9.4844,0.002458,0.63 LSB,PASS
91,9.5394,9.5391,0.000330,0.08 LSB,PASS
92,9.5917,9.5898,0.001819,0.47 LSB,PASS
93,9.6437,9.6406,0.003026,0.77 LSB,PASS
94,9.6954,9.6953,0.000047,0.01 LSB,PASS
95,9.7468,9.7461,0.000701,0.18 LSB,PASS
96,9.7980,9.7969,0.001084,0.28 LSB,PASS
97,9.8489,9.8477,0.001202,0.31 LSB,PASS
98,9.8995,9.8984,0.001057,0.27 LSB,PASS
99,9.9499,9.9492,0.000656,0.17 LSB,PASS
100,10.0000,10.0000,0.000000,0.00 LSB,PASS
101,10.0499,10.0469,0.003001,0.77 LSB,PASS
